alpha,global_miscoverage,gc_overall_miscoverage,gc_g0_miscoverage,gc_g1_miscoverage,gc_worst_group,global_violate,gc_g0_violate,gc_g1_violate,gc_any_violate
0.005,0.006099999999999994,0.005700000000000038,0.00688723835246452,0.0023121387283236983,0.00688723835246452,True,True,False,True
0.01,0.010299999999999976,0.01100000000000001,0.012018906144496966,0.008092485549133,0.012018906144496966,True,True,False,True
0.02,0.02310000000000001,0.020399999999999974,0.021877110060769756,0.016184971098265888,0.021877110060769756,True,True,False,True
0.05,0.054400000000000004,0.05500000000000005,0.057258609047940556,0.048554913294797664,0.057258609047940556,True,True,False,True
0.1,0.10699999999999998,0.10160000000000002,0.10465901417960832,0.09287090558766864,0.10465901417960832,True,True,False,True
0.15,0.1512,0.15069999999999995,0.15354490209318028,0.1425818882466281,0.15354490209318028,True,True,False,True
0.2,0.20199999999999996,0.19799999999999995,0.20175557056043214,0.18728323699421967,0.20175557056043214,True,True,False,True
0.25,0.2511,0.2512,0.25523295070898044,0.23969171483622354,0.25523295070898044,True,True,False,True
